patent_id	claim_sequence	claim_text	dependent	claim_number	exemplary
D942111	0	The ornamental design for an animal kibble, as shown and described.		1	0
D942112	0	The ornamental design for a confection with multicolor pattern, as shown and described.		1	0
D942113	0	The ornamental design for a cereal food piece, as shown and described.		1	0
D942114	0	The ornamental design for a kabob pet treat, as shown and described.		1	0
D942115	0	The ornamental design for a formed potato piece, as shown.		1	0
D942116	0	The ornamental design for a frozen confection, as shown and described.		1	0
D942117	0	The ornamental design for a pet treat, as shown and described.		1	0
D942118	0	The ornamental design for a pet snack, as shown and described.		1	0
D942119	0	I claim the ornamental design for the body shape enhancing apparatus, as shown and described.		1	0
D942120	0	The ornamental design for a gown with front flap with telemetry pocket, as shown and described.		1	0
D942121	0	The ornamental design for a temperature regulating garment, as shown and described.		1	0
D942122	0	The ornamental design for a jacket, as shown and described.		1	0
D942123	0	The ornamental design for a jacket, as shown and described.		1	0
D942124	0	The ornamental design for a t-shirt, as shown and described.		1	0
D942125	0	The ornamental design for a sweatshirt, as shown and described.		1	0
D942126	0	The ornamental design for a shoe, as shown and described.		1	0
D942127	0	The ornamental design for a sports shoe, as shown and described.		1	0
D942128	0	The ornamental design for a slipper, as shown and described.		1	0
D942129	0	The ornamental design for a shoe, as shown and described.		1	0
D942130	0	The ornamental design for an article of footwear, as shown and described.		1	0
D942131	0	The ornamental design for a shoe, as shown and described.		1	0
D942132	0	The ornamental design for a shoe, as shown and described.		1	0
D942133	0	The ornamental design for a shoe, as shown and described.		1	0
D942134	0	I claim the ornamental design for a shoe, as shown and described.		1	0
D942135	0	I claim the ornamental design for a shoe, as shown and described.		1	0
D942136	0	I claim the ornamental design for a shoe, as shown and described.		1	0
D942137	0	The ornamental design for a forefoot insert for a shoe, as shown and described.		1	0
D942138	0	The ornamental design for an arch support, as shown and described.		1	0
D942139	0	The ornamental design for an umbrella holder, as shown and described.		1	0
D942140	0	The ornamental design for a bag for carrying an animal, as shown and described.		1	0
D942141	0	The ornamental design for a backpack, as shown and described.		1	0
D942142	0	The ornamental design for a rucksack, as shown and described.		1	0
D942143	0	The ornamental design for a handbag, substantially as shown and described.		1	0
D942144	0	The ornamental design for a phone bag, substantially as shown and described.		1	0
D942145	0	The ornamental design for a handbag, as shown and described.		1	0
D942146	0	The ornamental design for a handbag, as shown and described.		1	0
D942147	0	The ornamental design for a ball net, as shown and described.		1	0
D942148	0	The ornamental design of a detachable bristle head for electric face brush, as shown and described.		1	0
D942149	0	I claim the ornamental design for a toothbrush, as shown and described.		1	0
D942150	0	The ornamental design for an ice scraper with snow broom, as shown and described.		1	0
D942151	0	The ornamental design for a detangling brush, as shown and described.		1	0
D942152	0	The ornamental design for a brush, as shown and described.		1	0
D942153	0	The ornamental design for a crevice detailing tool, as shown and described.		1	0
D942154	0	The ornamental design for a cartridge brush, as shown and described.		1	0
D942155	0	The ornamental design for a textile including a surface pattern, as shown and described.		1	0
D942156	0	The ornamental design for a textile including a surface pattern, as shown and described.		1	0
D942157	0	The ornamental design for a mirror, substantially as shown and described.		1	0
D942158	0	The ornamental design for a LED makeup mirror, as shown and described.		1	0
D942159	0	The ornamental design for a makeup mirror, as shown and described.		1	0
D942160	0	The ornamental design for a mirror, as shown and described.		1	0
D942161	0	The ornamental design for a tabletop digital mirror, as shown.		1	0
D942162	0	The ornamental design for LED makeup mirror, as shown and described.		1	0
D942163	0	The ornamental design for a convertible sofa with angled legs, as shown and described.		1	0
D942164	0	The ornamental design for a modular spa chair, as shown and described.		1	0
D942165	0	The ornamental design for a modular spa chair, as shown and described.		1	0
D942166	0	The ornamental design for a seat, as shown and described.		1	0
D942167	0	The ornamental design for a sun lounger, as shown and described.		1	0
D942168	0	The ornamental design for a chair, as shown.		1	0
D942169	0	The ornamental design for a chair, as shown and described.		1	0
D942170	0	An ornamental design of a chair, as shown and described.		1	0
D942171	0	The ornamental design for a gaming chair, as shown and described.		1	0
D942172	0	The ornamental design for a seating furniture, as shown and described.		1	0
D942173	0	I claim the ornamental design for a chair, as shown and described.		1	0
D942174	0	The ornamental design for a bed frame, as shown and described.		1	0
D942175	0	The ornamental design for a jewelry organizer, as shown and described.		1	0
D942176	0	The ornamental design for a disinfecting cap dispenser, as shown and described.		1	0
D942177	0	I claim the ornamental design for an adjustable shelf, as shown and described.		1	0
D942178	0	The ornamental design for a beach mat, as shown and described.		1	0
D942179	0	The ornamental design for a portable armrest expander, as shown and described.		1	0
D942180	0	The ornamental design for pillow with attached blanket Invention, as shown and described.		1	0
D942181	0	The ornamental design for a hair pillow, as shown and described.		1	0
D942182	0	The ornamental design for a pillow cover, as shown and described.		1	0
D942183	0	The ornamental design for a supportive pillow, as shown and as described.		1	0
D942184	0	The ornamental design for a bed sheet, as shown and described.		1	0
D942185	0	The ornamental design for an inflatable mat, as shown and described.		1	0
D942186	0	The ornamental design for an inflatable cushion, as shown and described.		1	0
